Date,AAPL,AMD,AMZN,META,MSFT,NVDA,TSLA
2013-01-22 00:00:00+00:00,15.342092514038086,2.450000047683716,13.509499549865723,30.613061904907227,22.025665283203125,0.2794387936592102,2.3459999561309814
2013-01-23 00:00:00+00:00,15.622932434082031,2.7300000190734863,13.405500411987305,30.70271873474121,22.398849487304688,0.27990028262138367,2.4000000953674316
2013-01-24 00:00:00+00:00,13.692598342895508,2.7899999618530273,13.67300033569336,30.961729049682617,22.415075302124023,0.28128474950790405,2.4660000801086426
2013-01-25 00:00:00+00:00,13.36981201171875,2.8499999046325684,14.19950008392334,31.419979095458984,22.61788558959961,0.28636136651039124,2.4653329849243164
2013-01-28 00:00:00+00:00,13.672237396240234,2.819999933242798,13.802000045776367,32.346439361572266,22.642227172851562,0.2909763753414154,2.5353329181671143
2013-01-29 00:00:00+00:00,13.928763389587402,2.740000009536743,13.017499923706055,30.672832489013672,22.723358154296875,0.2847460210323334,2.5299999713897705
2013-01-30 00:00:00+00:00,13.884994506835938,2.6500000953674316,13.637999534606934,31.12112045288086,22.593557357788086,0.2842845916748047,2.501332998275757
2013-01-31 00:00:00+00:00,13.844265937805176,2.5999999046325684,13.274999618530273,30.86210823059082,22.26905632019043,0.2829001545906067,2.500667095184326
2013-02-01 00:00:00+00:00,13.787429809570312,2.5999999046325684,13.25,29.616865158081055,22.658445358276367,0.2854383885860443,2.553333044052124
2013-02-04 00:00:00+00:00,13.443977355957031,2.5199999809265137,12.99899959564209,28.00303077697754,22.26093292236328,0.28059253096580505,2.5160000324249268
2013-02-05 00:00:00+00:00,13.915696144104004,2.5999999046325684,13.344499588012695,28.53101348876953,22.30961036682129,0.28705358505249023,2.5420000553131104
2013-02-06 00:00:00+00:00,13.900802612304688,2.5999999046325684,13.111000061035156,28.939451217651367,22.179807662963867,0.2847460210323334,2.611332893371582
2013-02-07 00:00:00+00:00,14.314126968383789,2.569999933242798,13.011500358581543,28.54097557067871,22.131134033203125,0.2835923433303833,2.631999969482422
2013-02-08 00:00:00+00:00,14.52078628540039,2.5899999141693115,13.09749984741211,28.441354751586914,22.35017967224121,0.2854383885860443,2.615999937057495
2013-02-11 00:00:00+00:00,14.672113418579102,2.6700000762939453,12.86050033569336,28.1524600982666,22.601665496826172,0.2886688709259033,2.561332941055298
2013-02-12 00:00:00+00:00,14.304338455200195,2.7699999809265137,12.9350004196167,27.265846252441406,22.61788558959961,0.2868228256702423,2.5260000228881836
2013-02-13 00:00:00+00:00,14.27713680267334,2.75,13.47350025177002,27.80379295349121,22.739578247070312,0.2854383885860443,2.563333034515381
2013-02-14 00:00:00+00:00,14.26429271697998,2.75,13.461999893188477,28.39154624938965,22.74768829345703,0.2937453091144562,2.551332950592041
2013-02-15 00:00:00+00:00,14.067719459533691,2.7100000381469727,13.254500389099121,28.21223258972168,22.723358154296875,0.2937453091144562,2.4693329334259033
2013-02-19 00:00:00+00:00,14.062520980834961,2.819999933242798,13.487500190734863,28.819910049438477,22.9442081451416,0.2898225486278534,2.618666887283325
2013-02-20 00:00:00+00:00,13.72195816040039,2.700000047683716,13.320500373840332,28.35169792175293,22.796968460083008,0.28566911816596985,2.569333076477051
2013-02-21 00:00:00+00:00,13.636664390563965,2.5999999046325684,13.29699993133545,27.176189422607422,22.48613739013672,0.2835923433303833,2.3440001010894775
2013-02-22 00:00:00+00:00,13.781878471374512,2.609999895095825,13.270999908447266,27.026758193969727,22.70699691772461,0.28889963030815125,2.4073328971862793
2013-02-25 00:00:00+00:00,13.537003517150879,2.5299999713897705,12.993499755859375,27.166227340698242,22.387981414794922,0.28382304310798645,2.2920000553131104
